num,setup,punch,text,humor,type,connector,typeall,connectorall,nopair
0,"Мандат депутата — документ,",удостоверяющий двуличность.,"Мандат депутата — документ, удостоверяющий двуличность.",1,GP, setup,GP, setup,
0,"Мандат депутата — документ,",удостоверяющий личность.,"Мандат депутата — документ, удостоверяющий личность.",0,,,GP, setup,
1,"На кого можно положиться,",на того можно и взвалить.,"На кого можно положиться, на того можно и взвалить.",1,RL,,RL,,
1,"На кого можно положиться,",тому можно и доверять.,"На кого можно положиться, тому можно и доверять.",0,,,RL,,
2,"Когда жена узнала, что в сексе я люблю ролевые игры,",сразу же предложила мне роль зрителя.,"Когда жена узнала, что в сексе я люблю ролевые игры, сразу же предложила мне роль зрителя.",1,RL,,RL,,
2,"Когда жена узнала, что в сексе я люблю ролевые игры,",сразу же предложила мне доминирующую роль.,"Когда жена узнала, что в сексе я люблю ролевые игры, сразу же предложила мне доминирующую роль.",0,,,RL,,
3,"Зима прошла,",но осадочек остался.,"Зима прошла, но осадочек остался.",1,RL,,RL,,
3,"Зима прошла,",но снег остался.,"Зима прошла, но снег остался.",0,,,RL,,
4,"Раньше я любил работать на пилораме,",а потом как отрезало.,"Раньше я любил работать на пилораме, а потом как отрезало.",1,RL,,RL,,
4,"Раньше я любил работать на пилораме,",а потом перестал любить.,"Раньше я любил работать на пилораме, а потом перестал любить.",0,,,RL,,
5,Монгольские врачи,сбивают температуру палкой.,Монгольские врачи сбивают температуру палкой.,1,GP, setup,GP, setup,
5,Монгольские врачи,сбивают температуру нурофеном.,Монгольские врачи сбивают температуру нурофеном.,0,,,GP, setup,
6,Ясновидящие никогда не,бывают ясно говорящими.,Ясновидящие никогда не бывают ясно говорящими.,1,RL,,RL,,
6,Ясновидящие никогда,не говорят по-нормальному.,Ясновидящие никогда не говорят по-нормальному.,0,,,RL,,
7,"Любая пицца может стать грибной,",если её поместить в тёплое и тёмное место на пару недель.,"Любая пицца может стать грибной, если её поместить в тёплое и тёмное место на пару недель.",1,GP, setup,GP, setup,
7,"Любая пицца может стать грибной,",если вырастить на ней плесень в тёплом и тёмном месте за пару недель.,"Любая пицца может стать грибной, если вырастить на ней плесень в тёплом и тёмном месте за пару недель.",1,GP, setup,GP, setup,
7,"Любая пицца может стать испорченной,",если её поместить в тёплое и тёмное место на пару недель.,"Любая пицца может стать испорченной, если её поместить в тёплое и тёмное место на пару недель.",0,,,GP, setup,
8,"Если сопротивление бесполезно,",попробуйте впаять туда конденсатор.,"Если сопротивление бесполезно, попробуйте впаять туда конденсатор.",1,GP, setup,GP, setup,
